,date,date_end,site,site_name,pm10,pedro
1,01/01/2014 00:00,01/01/2014 01:00,cwmb,Cwmbran,11,11.7
2,01/01/2014 01:00,01/01/2014 02:00,cwmb,Cwmbran,9,16.9
3,01/01/2014 02:00,01/01/2014 03:00,cwmb,Cwmbran,13,14.3
4,01/01/2014 03:00,01/01/2014 04:00,cwmb,Cwmbran,11,14.3
5,01/01/2014 04:00,01/01/2014 05:00,cwmb,Cwmbran,11,11.7
6,01/01/2014 05:00,01/01/2014 06:00,cwmb,Cwmbran,9,9.1
7,01/01/2014 06:00,01/01/2014 07:00,cwmb,Cwmbran,7,11.7
8,01/01/2014 07:00,01/01/2014 08:00,cwmb,Cwmbran,9,9.1
9,01/01/2014 08:00,01/01/2014 09:00,cwmb,Cwmbran,7,2.6
10,01/01/2014 09:00,01/01/2014 10:00,cwmb,Cwmbran,2,11.7
11,01/01/2014 10:00,01/01/2014 11:00,cwmb,Cwmbran,9,7.8
12,01/01/2014 11:00,01/01/2014 12:00,cwmb,Cwmbran,6,9.1
13,01/01/2014 12:00,01/01/2014 13:00,cwmb,Cwmbran,7,6.5
14,01/01/2014 13:00,01/01/2014 14:00,cwmb,Cwmbran,5,5.2
15,01/01/2014 14:00,01/01/2014 15:00,cwmb,Cwmbran,4,11.7
16,01/01/2014 15:00,01/01/2014 16:00,cwmb,Cwmbran,9,9.1
17,01/01/2014 16:00,01/01/2014 17:00,cwmb,Cwmbran,7,10.4
18,01/01/2014 17:00,01/01/2014 18:00,cwmb,Cwmbran,8,10.4
19,01/01/2014 18:00,01/01/2014 19:00,cwmb,Cwmbran,8,16.9
20,01/01/2014 19:00,01/01/2014 20:00,cwmb,Cwmbran,13,15.6
21,01/01/2014 20:00,01/01/2014 21:00,cwmb,Cwmbran,12,20.8
22,01/01/2014 21:00,01/01/2014 22:00,cwmb,Cwmbran,16,7.8
23,01/01/2014 22:00,01/01/2014 23:00,cwmb,Cwmbran,6,5.2
24,01/01/2014 23:00,02/01/2014 00:00,cwmb,Cwmbran,4,3.9
25,02/01/2014 00:00,02/01/2014 01:00,cwmb,Cwmbran,3,9.1
26,02/01/2014 01:00,02/01/2014 02:00,cwmb,Cwmbran,7,7.8
27,02/01/2014 02:00,02/01/2014 03:00,cwmb,Cwmbran,6,7.8
28,02/01/2014 03:00,02/01/2014 04:00,cwmb,Cwmbran,6,15.6
29,02/01/2014 04:00,02/01/2014 05:00,cwmb,Cwmbran,12,16.9
30,02/01/2014 05:00,02/01/2014 06:00,cwmb,Cwmbran,13,19.5
31,02/01/2014 06:00,02/01/2014 07:00,cwmb,Cwmbran,15,26
32,02/01/2014 07:00,02/01/2014 08:00,cwmb,Cwmbran,20,20.8
33,02/01/2014 08:00,02/01/2014 09:00,cwmb,Cwmbran,16,11.7
34,02/01/2014 09:00,02/01/2014 10:00,cwmb,Cwmbran,9,15.6
35,02/01/2014 10:00,02/01/2014 11:00,cwmb,Cwmbran,12,14.3
36,02/01/2014 11:00,02/01/2014 12:00,cwmb,Cwmbran,11,19.5
37,02/01/2014 12:00,02/01/2014 13:00,cwmb,Cwmbran,15,13
38,02/01/2014 13:00,02/01/2014 14:00,cwmb,Cwmbran,10,18.2
39,02/01/2014 14:00,02/01/2014 15:00,cwmb,Cwmbran,14,14.3
