"","date","date_end","site","site_name","ge10"
"1",2014-01-01 00:00:00,2014-01-01 01:00:00,"cwmb","Cwmbran",14.3
"2",2014-01-01 01:00:00,2014-01-01 02:00:00,"cwmb","Cwmbran",11.7
"3",2014-01-01 02:00:00,2014-01-01 03:00:00,"cwmb","Cwmbran",16.9
"4",2014-01-01 03:00:00,2014-01-01 04:00:00,"cwmb","Cwmbran",14.3
"5",2014-01-01 04:00:00,2014-01-01 05:00:00,"cwmb","Cwmbran",14.3
"6",2014-01-01 05:00:00,2014-01-01 06:00:00,"cwmb","Cwmbran",11.7
"7",2014-01-01 06:00:00,2014-01-01 07:00:00,"cwmb","Cwmbran",9.1
"8",2014-01-01 07:00:00,2014-01-01 08:00:00,"cwmb","Cwmbran",11.7
"9",2014-01-01 08:00:00,2014-01-01 09:00:00,"cwmb","Cwmbran",9.1
"10",2014-01-01 09:00:00,2014-01-01 10:00:00,"cwmb","Cwmbran",2.6
"11",2014-01-01 10:00:00,2014-01-01 11:00:00,"cwmb","Cwmbran",11.7
"12",2014-01-01 11:00:00,2014-01-01 12:00:00,"cwmb","Cwmbran",7.8
"13",2014-01-01 12:00:00,2014-01-01 13:00:00,"cwmb","Cwmbran",9.1
"14",2014-01-01 13:00:00,2014-01-01 14:00:00,"cwmb","Cwmbran",6.5
"15",2014-01-01 14:00:00,2014-01-01 15:00:00,"cwmb","Cwmbran",5.2
"16",2014-01-01 15:00:00,2014-01-01 16:00:00,"cwmb","Cwmbran",11.7
"17",2014-01-01 16:00:00,2014-01-01 17:00:00,"cwmb","Cwmbran",9.1
"18",2014-01-01 17:00:00,2014-01-01 18:00:00,"cwmb","Cwmbran",10.4
"19",2014-01-01 18:00:00,2014-01-01 19:00:00,"cwmb","Cwmbran",10.4
"20",2014-01-01 19:00:00,2014-01-01 20:00:00,"cwmb","Cwmbran",16.9
"21",2014-01-01 20:00:00,2014-01-01 21:00:00,"cwmb","Cwmbran",15.6
"22",2014-01-01 21:00:00,2014-01-01 22:00:00,"cwmb","Cwmbran",20.8
"23",2014-01-01 22:00:00,2014-01-01 23:00:00,"cwmb","Cwmbran",7.8
"24",2014-01-01 23:00:00,2014-01-02 00:00:00,"cwmb","Cwmbran",5.2
"25",2014-01-02 00:00:00,2014-01-02 01:00:00,"cwmb","Cwmbran",3.9
"26",2014-01-02 01:00:00,2014-01-02 02:00:00,"cwmb","Cwmbran",9.1
"27",2014-01-02 02:00:00,2014-01-02 03:00:00,"cwmb","Cwmbran",7.8
"28",2014-01-02 03:00:00,2014-01-02 04:00:00,"cwmb","Cwmbran",7.8
"29",2014-01-02 04:00:00,2014-01-02 05:00:00,"cwmb","Cwmbran",15.6
"30",2014-01-02 05:00:00,2014-01-02 06:00:00,"cwmb","Cwmbran",16.9
"31",2014-01-02 06:00:00,2014-01-02 07:00:00,"cwmb","Cwmbran",19.5
"32",2014-01-02 07:00:00,2014-01-02 08:00:00,"cwmb","Cwmbran",26
"33",2014-01-02 08:00:00,2014-01-02 09:00:00,"cwmb","Cwmbran",20.8
"34",2014-01-02 09:00:00,2014-01-02 10:00:00,"cwmb","Cwmbran",11.7
"35",2014-01-02 10:00:00,2014-01-02 11:00:00,"cwmb","Cwmbran",15.6
"36",2014-01-02 11:00:00,2014-01-02 12:00:00,"cwmb","Cwmbran",14.3
"37",2014-01-02 12:00:00,2014-01-02 13:00:00,"cwmb","Cwmbran",19.5
"38",2014-01-02 13:00:00,2014-01-02 14:00:00,"cwmb","Cwmbran",13
"39",2014-01-02 14:00:00,2014-01-02 15:00:00,"cwmb","Cwmbran",18.2
"40",2014-01-02 15:00:00,2014-01-02 16:00:00,"cwmb","Cwmbran",14.3
"41",2014-01-02 16:00:00,2014-01-02 17:00:00,"cwmb","Cwmbran",16.9
